title,sell_price,orig_price,rating,num_ratings_reviews
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Intellisense Invert...,"₹17,790","₹22,050",4.3,"8,871 Ratings & 851 Reviews"
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹16,853","₹19,778",4.3,67 Ratings & 4 Reviews
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹16,090","₹18,990",4.4,"4,823 Ratings & 498 Reviews"
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,"₹22,990","₹31,550",3.7,17 Ratings & 3 Reviews
SAMSUNG 670 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹72,800","₹95,990",,
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹25,500","₹32,390",5,4 Ratings & 0 Reviews
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹25,500","₹31,990",4.3,3 Ratings & 0 Reviews
LG 190 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹15,570","₹20,699",4.1,41 Ratings & 3 Reviews
realme TechLife 338 L Frost Free Double Door 3 Star Refrigerator,"₹25,990","₹44,490",4.3,589 Ratings & 97 Reviews
Haier 258 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹23,490","₹27,800",4.4,"7,642 Ratings & 805 Reviews"
Whirlpool 190 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹16,340","₹20,450",4.3,816 Ratings & 89 Reviews
Haier 628 L Frost Free Side by Side Refrigerator,"₹81,990","₹1,43,100",,
SAMSUNG 243 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹33,900","₹37,190",4.5,12 Ratings & 1 Reviews
SAMSUNG 580 L Frost Free French Door Bottom Mount Convertible Refrigerator,"₹71,990","₹87,990",4.3,279 Ratings & 36 Reviews
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator,"₹17,790","₹19,700",4.3,"13,661 Ratings & 1,434 Reviews"
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator,"₹16,740","₹18,990",4.4,"1,799 Ratings & 199 Reviews"
Godrej 343 L Frost Free Double Door 3 Star Refrigerator,"₹32,990","₹49,820",3.8,13 Ratings & 2 Reviews
SAMSUNG 255 L Direct Cool Single Door 3 Star Refrigerator,"₹22,990","₹24,990",4.2,9 Ratings & 0 Reviews
"LG 190 L Direct Cool Single Door 5 Star Refrigerator  with Smart Inverter With Smart Connect, Moist 'N...","₹18,990","₹23,299",3.9,19 Ratings & 0 Reviews
SAMSUNG 244 L Frost Free Double Door 3 Star Convertible Refrigerator with Base Drawer  with Curd Maest...,"₹29,888","₹41,249",4.5,71 Ratings & 9 Reviews
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹15,390","₹16,990",4.4,"4,969 Ratings & 512 Reviews"
BOSCH 263 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹28,990","₹41,590",4.2,120 Ratings & 16 Reviews
LG 308 L Frost Free Double Door Top Mount 2 Star Refrigerator,"₹30,790","₹43,299",,
,,,,
,,,,
LG 308 L Frost Free Double Door Top Mount 2 Star Refrigerator,"₹30,790","₹43,299",,
LG 190 L Direct Cool Single Door 4 Star Refrigerator,"₹16,490","₹20,390",4.4,"35,648 Ratings & 3,449 Reviews"
SAMSUNG 244 L Frost Free Double Door 3 Star Refrigerator,"₹32,700","₹36,990",,
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹15,490","₹18,990",4.5,19 Ratings & 3 Reviews
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹16,490","₹21,199",4.5,53 Ratings & 3 Reviews
LG 215 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Fast Ice Making,"₹19,590","₹26,099",4.6,64 Ratings & 3 Reviews
Haier 182 L Direct Cool Single Door 2 Star Refrigerator,"₹13,250","₹19,000",4.4,333 Ratings & 30 Reviews
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,"₹23,990","₹25,800",4.3,193 Ratings & 10 Reviews
LG 190 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹16,090","₹20,699",4.4,22 Ratings & 1 Reviews
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator,"₹16,890","₹19,650",4.3,"8,871 Ratings & 851 Reviews"
realme TechLife 280 L Frost Free Double Door 2 Star Refrigerator,"₹22,990","₹31,490",4.3,589 Ratings & 97 Reviews
Godrej 240 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹19,790","₹25,000",4.3,"1,580 Ratings & 205 Reviews"
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹15,873","₹17,616",4.4,18 Ratings & 2 Reviews
Whirlpool 190 L Direct Cool Single Door 3 Star Refrigerator,"₹14,640","₹17,000",4.3,"37,717 Ratings & 3,488 Reviews"
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator,"₹17,990","₹20,490",4.5,37 Ratings & 2 Reviews
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹13,990","₹15,290",4.4,"12,484 Ratings & 1,429 Reviews"
LG 260 L Frost Free Double Door 2 Star Refrigerator,"₹26,490","₹33,299",4.2,42 Ratings & 1 Reviews
LG 215 L Direct Cool Single Door 4 Star Refrigerator,"₹19,590","₹22,490",4.5,"1,368 Ratings & 125 Reviews"
LG 190 L Direct Cool Single Door 1 Star Refrigerator,"₹14,349","₹20,990",,
Whirlpool 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹21,290","₹25,150",4.4,"9,468 Ratings & 1,073 Reviews"
Haier 375 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹36,490","₹57,300",4.3,55 Ratings & 11 Reviews
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹15,490","₹17,990",4.3,29 Ratings & 4 Reviews
Haier 630 L Frost Free Side by Side Convertible Refrigerator,"₹71,990","₹1,31,900",4.6,21 Ratings & 3 Reviews
Whirlpool 280 L Direct Cool Single Door 3 Star Refrigerator  with Auto Defrost,"₹23,104","₹26,990",4,60 Ratings & 6 Reviews
,,,,
,,,,
LG 423 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter with Door Cooling...,"₹54,090","₹67,999",4.3,30 Ratings & 7 Reviews
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator  with Digi Touch Cool,"₹16,890","₹17,990",4.4,"2,169 Ratings & 256 Reviews"
Godrej 564 L Frost Free Side by Side Refrigerator,"₹66,990","₹90,000",4,4 Ratings & 1 Reviews
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹17,284","₹17,990",4.2,118 Ratings & 16 Reviews
Haier 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹37,490","₹68,100",3.7,3 Ratings & 0 Reviews
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹17,038","₹19,099",4.5,52 Ratings & 4 Reviews
Haier 276 L Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator,"₹29,999","₹46,300",4.6,21 Ratings & 4 Reviews
Lloyd 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,990","₹24,390",4.4,"2,060 Ratings & 242 Reviews"
Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,"₹12,590","₹17,300",4.3,"3,195 Ratings & 316 Reviews"
LG 674 L Frost Free Side by Side Refrigerator  with Smart Inverter Compressor ThinQ (Wi-Fi)� | DoorCoo...,"₹1,09,299","₹1,51,799",4.7,11 Ratings & 0 Reviews
"SAMSUNG 225 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool, BSD","₹20,590","₹22,990",4.4,"10,396 Ratings & 1,236 Reviews"
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹29,190","₹35,650",4.3,"28,137 Ratings & 3,012 Reviews"
BOSCH 415 L Frost Free Double Door 3 Star Refrigerator,"₹55,000","₹70,490",4,15 Ratings & 1 Reviews
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,540","₹16,500",4.3,"37,717 Ratings & 3,488 Reviews"
Haier 195 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹18,999","₹30,400",,
LG 423 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹51,000","₹67,999",,
Godrej 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Intelligent Inverter C...,"₹16,190","₹18,500",4.4,"1,764 Ratings & 187 Reviews"
Godrej 190 L Direct Cool Single Door 5 Star Refrigerator,"₹17,490","₹21,000",4.4,"4,946 Ratings & 573 Reviews"
Whirlpool 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹21,690","₹27,550",4.4,"9,468 Ratings & 1,073 Reviews"
SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹37,540","₹47,990",4.3,"7,427 Ratings & 803 Reviews"
Godrej 294 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹29,490","₹34,000",4.3,711 Ratings & 68 Reviews
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹18,090","₹22,300",4.4,"9,468 Ratings & 1,073 Reviews"
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹16,990","₹22,299",,
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹17,099","₹18,799",4.3,61 Ratings & 5 Reviews
,,,,
,,,,
Whirlpool 200 L Direct Cool Single Door 4 Star Refrigerator,"₹17,490","₹21,250",4.3,"10,009 Ratings & 1,045 Reviews"
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹15,350","₹20,100",3.9,21 Ratings & 1 Reviews
Whirlpool 205 L Direct Cool Single Door 5 Star Refrigerator  with Auto Defrost,"₹19,390","₹24,050",4.3,"1,459 Ratings & 156 Reviews"
Whirlpool 240 L Frost Free Triple Door Refrigerator,"₹28,490","₹36,400",4.4,"30,753 Ratings & 3,806 Reviews"
Haier 195 L Direct Cool Single Door 5 Star Refrigerator  with Mirror Glass Door,"₹20,499","₹24,990",4.4,"2,513 Ratings & 301 Reviews"
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹14,850","₹16,990",4.6,35 Ratings & 4 Reviews
SAMSUNG 394 L Frost Free Double Door 2 Star Refrigerator,"₹39,990","₹49,990",4.4,"1,947 Ratings & 223 Reviews"
